언론사,코드
투데이신문,2460
투데이코리아,2616
티티엘뉴스,2643
파이낸셜투데이,2518
팍스넷뉴스,2630
팜뉴스,2828
패션엔,2456
팩트TV,2273
펜앤드마이크,2786
포쓰저널,2665
푸드경제 오가닉라이프신문,2567
프레스맨,2681
프레시안,1002
하비엔,2744
한강타임즈,2290
한국강사신문,2566
한국농어촌방송,2555
한국정경신문,2503
허프포스트코리아,2384
헬로디디,2409
헬스인뉴스,2817
현대경제신문,2288
환경과조경,2637
AI타임스,2746
AP신문,2793
BBS NEWS,2019
bnt뉴스,2191
CNB뉴스,2293
FETV,2484
ifspost,2625
IT조선,2242
SR타임스,2589
UPI뉴스,2372
中요한 기자들,1531
美스테리한 기자들,1561
게임메카,1356
경성대 미식축구부 월간용광로,1649
경향게임스,2840
고려대학교 SPORTS KU,1568
골닷컴,1216
골프다이제스트,1435
골프타임즈,2427
국민체육진흥공단,1631
김형준 칼럼,1224
김환 칼럼,1516
네이버스포츠,1064
뉴스엔,1447
뉴스엔,1609
뉴스인사이드,2095
단국대학교 웅담,1599
대한게이트볼협회,1650
대한골프협회,1602
대한민국농구협회,1589
대한민국배구협회,1600
대한봅슬레이스켈레톤경기연맹,1612
대한택견회,1646
더스파이크,2624
데일리e스포츠,1347
데일리스포츠한국,2604
도엔,1511
동국대학교 다르마,1644
디스이즈게임,1439
디스패치,1433
루키,1398
류현진 MLB 일기,1513
마니아타임즈,1425
마이데일리,1117
맨체스터시티 FC,1624
몬스터짐,1409
무비스트,2357
박문성 칼럼,1208
발렌시아CF,1614
베스트일레븐,1343
브라이언 스털,1560
비즈볼프로젝트,1489
비즈엔터,2352
삼성 썬더스,1371
서형욱 칼럼,1260
서호정 칼럼,1452
선문대학교 축구부 프론트,1633
성호준 칼럼,1485
손대범 칼럼,1430
송산의 돌직구,1483
수원대학교 축구부 기자단,1627
스타뉴스,1108
스타데일리뉴스,2401
스타캐스트,1420
스포츠Q,2400
스포츠W,2753
스포츠경향,1144
스포츠동아,1382
스포츠서울,1468
스포츠월드,1396
스포츠조선,1076
스포츠타임스,1472
스포츠투데이,2348
스포츠투아이,1488
스포츠한국,2359
스포탈코리아,1139
스포티비뉴스,1477
아시아리그,1603
아이즈 ize,1465
아주대 축구부 프론트,1645
안산그리너스FC,1591
알베르토 몬디,1554
앤드류 배걸리,1556
앳스타일,1415
야덕일지,1487
야큐 리포트,1264
양주시민축구단,1623
엑스포츠뉴스,1311
엔젤스파이팅,1613
엠스플뉴스,1529
염용근 칼럼,1486
영남대 축구부 홍보단,1619
영독한 기자들,1545
올림픽채널,1610
용인대스포츠기자단,1605
울산대학교 어스키퍼,1632
울산시민축구단,1615
위원석 칼럼,1550
이덕규 칼럼,1495
이영미 칼럼,1380
이은경 칼럼,1544
이종열 칼럼,1566
이창섭 칼럼,1460
인간vs축봇,1580
인벤,1442
인터풋볼,1413
일간스포츠,1241
일요신문 스포츠,1381
점프볼,1065
정보통신신문,2839
조석 카툰,1360
조이뉴스24,2712
중앙대학교 SPORTS CAU,1622
천안시청축구단,1626
청주FC,1651
최종준 칼럼,1494
추신수 MLB 일기,1512
축구저널,2436
춘천시민축구단,1616
충주 험멜,1491
콩푸엉 일기,1621
킹존 드래곤X,1617
테니스코리아,1481
테니스피플,2553
텐아시아,1312
톱스타뉴스,2353
티브이데일리,1440
티브이데일리,2129
포모스,1236
포포투,1411
풋볼리스트,1436
한게임 바둑,1370
한국3대3농구연맹,1618
한국배구연맹,1352
한국스포츠개발원,1593
한국체대 KNSB,1620
한국풋살연맹,1625
한국프로볼링협회,1592
한국프로축구선수협회,1628
한스경제,2438
한준 칼럼,1431
한화생명e스포츠,1598
헤럴드POP,1112
홍기자 칼럼,1459
홍익대 홍대신문,1647
흥국생명 핑크스파이더스,1606
enews24,2836
JTBC GOLF,1470
K STAR,2245
KBS 연예,1438
KBSN 스포츠,1451
KGC인삼공사프로배구단,1611
MBC SPORTS+,1049
MBC연예,1408
MHN스포츠,1445
MK스포츠,1410
OBS TV,1427
OSEN,1109
SBS Golf,2314
SBS SPORTS,1464
SBS연예뉴스,1416
STAT 칼럼,1564
STN 스포츠,1450
Team LoL 칼럼,1502
The Sun,1496
TV리포트,1213
